Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
49.06637644767761	10	6434.558071350385	262.53865857367174	7231.384772093965	5858.294192264691	538037
92.89292478561401	20	7898.336969729991	685.2837076398965	8700.505218809405	4769.302656172191	1013510
136.846821308136	30	8319.331117539563	149.26137124054895	8651.706760096127	7888.922787200106	1554578
180.22959733009338	40	6869.6886099184285	2119.79167161188	8747.805765763065	2217.4896055543286	2124964
224.529128074646	50	8380.982176768961	523.9379452545813	9016.814564547394	4245.940641285303	2706132
267.32503271102905	60	6535.931819210826	2146.479548448732	9135.261813254469	3100.5414047485287	3306246
311.15551257133484	70	8143.140506709436	2137.4961342308993	9991.199095451495	1304.96816810513	3881579
354.287757396698	80	8769.31906725631	1733.7514020611288	11940.477226440738	5017.576375910054	4453787
397.9054720401764	90	10060.289416707385	1455.3292971391331	12014.134085976646	5171.5276433103	5037658
441.75862312316895	100	9056.560181706285	2634.684554111351	13407.36109906386	3390.8260384201135	5647234
485.4438259601593	110	11714.166874054737	1195.2344119703723	13343.177078458506	8682.950587303725	6254001
530.3152635097504	120	12772.805195487257	2227.9946640358485	14974.008995192258	4851.927986403096	6865051
574.1274163722992	130	11476.513642875796	3477.2124742584297	15263.354947136806	3417.199860653633	7444797
618.4326612949371	140	13030.022190299087	1482.9507666989616	14658.646975179316	4789.551316178031	8034483
662.2687900066376	150	12691.50550983567	1286.8110090443631	14497.90677362424	9040.148801497891	8650711
705.5779316425323	160	11260.046997413114	3520.748305997825	15204.606844092936	3311.350536322813	9255636
749.9597699642181	170	13734.925397744128	1850.3363467868533	15452.624225927764	4507.682640989607	9850802
793.801531791687	180	13789.805399537227	1813.141714837835	15358.197191633237	4291.168504994921	10442256
837.3443927764893	190	13592.820528588318	2563.270410830505	16374.364525501143	5130.405201520103	11044759
881.0699181556702	200	13734.618116623853	3127.4578066772224	16710.217958370795	3804.2130911783547	11632261
924.4107294082642	210	13132.905589489474	2762.2073128920724	16473.88296159195	4058.770888625094	12214072
968.7222964763641	220	13025.450658325171	2478.3662492707967	15699.873234396871	4154.5886448216825	12818417
1011.6231710910797	230	12944.494924523759	3925.9401374143376	16356.50921141883	3885.867987138401	13398137
1054.5597331523895	240	14128.990255148101	2994.572978377484	16808.338533982456	3820.933043553439	13956677
1098.23592877388	250	15208.930713064605	2145.2077761671667	16891.09871453677	4027.6120488111346	14522450
1141.4177260398865	260	13414.828734787001	4426.313161800792	16917.416822928688	3606.791204024905	15090757
1184.860007762909	270	15251.463562781917	2463.8105815295885	17061.44452125731	3952.269170511465	15633717
1228.3432614803314	280	13679.205090694113	3593.49059759297	17272.17108602235	4540.369793118432	16220644
1271.6597769260406	290	14595.113600649904	2928.1254694101876	17166.281423462144	4928.560035481973	16796852
1316.3411390781403	300	15165.205483107655	2649.0337944863645	17322.3181166592	4517.866415688821	17372995
1359.4324984550476	310	15554.000873638757	2353.723447949546	17234.20283663836	4626.124585550487	17946552
1402.1534757614136	320	14267.955427756699	4005.07321047848	17247.288133691764	3837.1566356671888	18490395
1445.7443125247955	330	14915.64794090629	3492.2937776455537	17279.11528478931	2633.6639431617773	19049535
1491.148051738739	340	15546.631974257085	2409.1160404943894	17245.338049383772	3192.9732546982873	19623757
1535.0013399124146	350	15236.272881390994	2897.042917223834	17710.39915877265	3094.8479809911187	20208518
1576.8032855987549	360	10608.188210448003	5574.91992375768	17254.67922866187	2092.4707956549487	20754683
1619.8992893695831	370	13311.193041805003	4849.728649003625	17424.14990441719	2194.888213197752	21297723
1663.0036821365356	380	15143.472976730945	2912.6236205001005	17404.111884722533	3858.615500189726	21878317
1706.6450233459473	390	14883.249439901969	2422.636185785004	17161.29868189733	5730.259394832895	22483343
1750.6377263069153	400	14806.28435951825	3001.78510283823	17572.126255187017	3994.4909818503756	23084789
1794.868400812149	410	13650.061392581214	4346.065420734662	17268.496388158223	2595.33031127613	23690798
1839.1500186920166	420	15541.47266675774	3344.3702478786477	17779.987288345692	3938.2784522001543	24294570
1882.4907376766205	430	14081.11334675883	4035.9498570778364	17861.94921128767	3718.4432900245233	24885700
1927.1703672409058	440	14682.329123931377	3595.0301949255922	17658.80138436274	3452.7388638591983	25481662
1971.125099182129	450	15000.777492276266	3116.4152724669166	17788.64560887283	3842.167474598432	26059241
2015.0308921337128	460	16284.58655557655	2212.9990477137335	18078.870420923595	5077.94233334685	26654014
2058.3141210079193	470	13846.010645698138	4278.697878967413	17971.812538860773	3609.287913829428	27252540
2101.3048844337463	480	16133.020435510092	2832.0030712913167	18020.719586413295	4005.632229477223	27831673
2144.500992298126	490	16533.95861877149	2134.4466748996865	17991.279519109128	6167.707743398467	28438175
2187.2606234550476	500	16273.271967383096	2156.3198582562327	17593.91401776763	4012.3397443193085	29058887
2230.2784111499786	510	15590.160750517749	3264.1398586299206	17867.495686642655	3971.6648401938946	29668439
2273.4354882240295	520	13636.134295874464	5057.5616046099785	17606.23741784193	3767.5548310832987	30258187
2317.9317853450775	530	15042.243791759829	3736.699411283701	17425.254287959855	3854.5749063015323	30857252
2361.0807399749756	540	13538.888657726375	3738.9255209554362	17128.138097426796	3281.455606944252	31462713
2404.689421892166	550	16398.607844535625	1434.3817122099133	17451.914181085245	9352.057598532261	32068991
2448.1591835021973	560	16042.085445358216	1981.050863165421	17613.08947134828	4514.0583159444805	32674135
2491.952687740326	570	15479.685984474954	3061.40614716681	17412.71415649084	3701.7824757857966	33266064
2535.4255809783936	580	16072.939174301218	2250.50944698698	17635.35414549725	3789.511263549382	33852934
2579.0717771053314	590	14349.342622390333	4237.386640047637	17633.447530572113	3584.467974703843	34452246
2622.640627384186	600	15307.657511477772	3231.2515032635915	17297.11873821553	3846.7199360464638	35048433
2666.273809671402	610	16305.58127848083	1835.7431945169153	17636.608569047872	5091.830628748349	35665186
2710.008708715439	620	16092.141838017375	2490.234923019621	17866.938190337853	4012.0434070247356	36279744
2753.5426020622253	630	14353.19627908654	4244.846812929591	17338.65127306161	3620.944921790322	36895723
2797.2760396003723	640	15324.222095082969	3007.974304529587	17723.328784405152	3943.106365707095	37514098
2841.0595762729645	650	15259.35973862747	3504.556107387006	17670.193030622893	3791.6160325400374	38123104
2884.002227306366	660	14615.411720609989	4125.971058600151	17353.182650589886	3349.654241256599	38721279
2928.598698616028	670	15812.473117584246	2542.9260691064765	17829.223370517633	4864.758597086764	39329761
2972.014518260956	680	14594.104817557958	4214.025799818121	18127.242079105843	2253.520245294527	39934164
3017.153880596161	690	15632.363706642196	2820.495792441626	17959.83387914055	3924.799115689146	40539247
3060.1652884483337	700	16500.87191674805	2050.717956697468	18297.742759339002	4736.930368397471	41119425
3103.995899915695	710	16964.479582226464	1814.75969700595	18279.696517291475	8377.261738885716	41724697
3147.5490052700043	720	16145.25567020508	2866.5074313680147	18143.052179348095	3947.3707566504477	42324888
3191.1615076065063	730	15493.19409871384	3521.321946437486	18314.9159232191	4111.373101440464	42914121
3234.1273140907288	740	15691.25786416895	3056.8977224116393	18121.289922104683	3823.208652453992	43514143
3279.2335076332092	750	15817.32182475392	3460.431049128355	18189.185694599095	3529.6248166556406	44111770
3321.6232607364655	760	15209.636878748823	3782.897453343218	18467.558478114646	3757.1843264312915	44716268
3365.258673429489	770	16368.292445522042	2114.6435450462586	18372.090890863696	8536.35077467638	45317694
3408.781417131424	780	16805.305178271345	2335.904931614549	18339.402809798437	5075.199383238208	45940937
3452.3796734809875	790	17173.020297642524	2043.4735227844558	18736.962564597514	4587.18636808349	46559595
3496.916648864746	800	17092.096199710995	1752.0996625386915	18834.18301674846	8486.478999642743	47164486
3540.5652980804443	810	17169.58172120863	2191.925285477912	18826.723945623937	4430.16521794017	47770103
3584.619553565979	820	16597.137410031482	2687.740173223094	18768.42497143276	4145.196127914012	48378619
3628.761253595352	830	14081.931912011045	5197.465865276633	18691.119146392317	2228.9529363214515	48980665
3672.3370327949524	840	16592.112122726434	2751.38416579477	18645.03240752937	3833.5281232658094	49560844
3717.1950566768646	850	17039.755432424998	1776.9755476251523	18653.381643068034	4751.9264110083	50138679
3760.9162137508392	860	16436.70036250517	3072.3616042128	18894.43825206728	3998.8569233744256	50709199
3805.3411111831665	870	16205.562776301478	2969.7898185955887	19207.22735748239	4258.788487993303	51290339
3849.9954319000244	880	15329.312204180509	4413.536970076733	18679.27852729247	1860.7728152531884	51859591
3892.9582438468933	890	15493.760681826358	4229.765773515704	18845.623444222718	3563.968063045726	52463497
3937.8067169189453	900	14653.04838520717	4545.9396120536485	18638.19293462696	3656.710693399581	53062296
3981.5593860149384	910	17078.837692132856	1858.4276233044131	18680.487810405517	8596.531184438281	53656167
4025.1837916374207	920	17460.631054768375	1956.6194571540625	18949.09608055305	4775.399453764587	54258629
4069.0451669692993	930	16590.348338164207	2962.4625670247733	18928.12387589679	3391.4533280002547	54852109
4112.446193695068	940	17591.451364984532	2221.583746422743	19091.111783330984	4436.690234364356	55434380
4155.43273806572	950	16600.504912572287	3138.573804727979	18932.78919350061	2662.557466746219	56039183
4198.780899763107	960	16716.732558120482	3052.782876617607	19039.77554069365	4997.129196880477	56637980
4241.951514482498	970	16797.15671103873	2971.9326406740497	19311.928318650975	4824.634272494543	57249878
4284.850932598114	980	17388.391329168247	1869.839003407179	18789.29485664588	4624.602868383429	57848755
4328.067364454269	990	14661.15142199283	4489.986042351473	18641.853979580537	3613.8495168409368	58448701
4372.170364379883	1000	16201.873732480513	3300.528419325947	18392.260051403908	3810.1223762322243	59056108
